context_count,audit_size,channel_interval_half_width,channel_heterogeneity,score_gradient_noncollinearity_angle,false_certified_sign_rate,harmful_sample_update_rate,clean_gradient_cosine,certified_mass,cosine_gain_over_best_nonoracle,cosine_gain_over_H001,harmful_rate_reduction_over_best_nonoracle,harmful_rate_reduction_over_H001,point_limit_direction_difference,valid_coverage
2,64,0.05,0.0,90,0.0,0.0,0.999352320842676,0.6666666666666666,-0.0006476791573239548,-0.0003803534140245146,0.0,0.0,0.026960360568158835,True
2,64,0.05,0.15,0,0.0,0.0,0.9999814371716884,0.6666666666666666,-1.818554117480886e-05,-1.751139159995585e-05,0.0,0.0,0.011049323061219288,True
2,64,0.05,0.15,45,0.0,0.0,0.9999130358954295,0.6666666666666666,-7.524681111537035e-05,-7.371681684722464e-05,0.0,0.0,0.021204486462561303,True
2,64,0.05,0.15,90,0.0,0.0,0.9993325208912507,0.6666666666666666,-0.0004420555841438523,-0.0003827955161502805,0.0,0.0,0.019602846010639854,True
2,64,0.05,0.3,0,0.0,0.0,0.9999396710830875,0.6666666666666666,-5.6188599090378764e-05,-4.1020201559471835e-05,0.0,0.0,0.029954159017191492,True
2,64,0.05,0.3,45,0.0,0.0,0.9998876592701317,0.7333333333333332,-8.869835815052962e-05,-7.41858544588414e-05,0.0,0.0,0.018496267790316902,True
2,64,0.05,0.3,90,0.0,0.0,0.9994117726480853,0.6666666666666666,-0.0004645598682111229,-0.00040934233511367155,0.0,0.0,0.022052028864903893,True
2,64,0.1,0.0,0,0.0,0.0,0.9998413482202064,0.6666666666666666,-0.0001586517797935727,-0.00013674910533529873,0.0,0.13333333333333333,0.02569862459346262,True
2,64,0.1,0.0,45,0.0,0.0,0.9975529019348709,0.6333333333333333,-0.00244709806512895,-0.0020522033082825074,0.0,0.0,0.08507801578789842,True
2,64,0.1,0.0,90,0.0,0.0,0.9965143139312371,0.6333333333333333,-0.003485686068762872,-0.003118636189630086,0.0,0.0,0.11112114191782657,True
2,64,0.1,0.15,0,0.0,0.0,0.9998675825634263,0.5999999999999999,-0.00013075237909339067,-0.0001213048967438235,0.0,0.0,0.02566877792831882,True
2,64,0.1,0.15,45,0.0,0.0,0.9987517661186878,0.6666666666666666,-0.0011069279487303518,-0.0011069279487303518,0.0,0.0,0.062465510361074,True
2,64,0.1,0.15,90,0.0,0.0,0.994153073033545,0.6333333333333333,-0.005648038171187775,-0.004847675049010958,0.0,0.0,0.11325411791947865,True
2,64,0.1,0.3,0,0.0,0.0,0.9990482359031777,0.6333333333333333,-0.0009158290929884183,-0.0008994079099442053,0.0,0.0,0.06251411657080184,True
2,64,0.1,0.3,45,0.0,0.0,0.9971526269017428,0.6333333333333333,-0.002688432551801734,-0.0025935153735272996,0.0,0.0,0.09110174209150594,True
2,64,0.1,0.3,90,0.0,0.0,0.9960338315905363,0.6666666666666666,-0.003569505655387695,-0.0033781028977977632,0.0,0.0,0.08327072584256574,True
2,64,0.2,0.0,0,0.0,0.0,-0.2184338166724597,0.39999999999999997,-1.2184338166724598,-1.2183938059965604,0.0,0.0,1.997509002457213,True
2,64,0.2,0.0,45,0.0,0.0,0.5478413639836969,0.13333333333333333,-0.452158636016303,-0.45201551745675694,0.0,0.06666666666666667,1.0,True
2,64,0.2,0.0,90,0.0,0.0,0.5697264850402725,0.2,-0.43027351495972743,-0.42928512920198614,0.0,0.2,1.0,True
2,64,0.2,0.15,0,0.0,0.0,0.9963960782969998,0.4,-0.003559414618452261,-0.003556999210055212,0.0,0.0,0.1919658135689677,True
2,64,0.2,0.15,45,0.0,0.0,0.9979607394026987,0.3333333333333333,-0.001558951792851504,-0.0014045239649058462,0.0,0.0,0.13001292384172977,True
2,64,0.2,0.15,90,0.0,0.0,0.9944495861375616,0.3333333333333333,-0.005416229339675472,-0.004736124895795957,0.0,0.0,0.10339549921720483,True
2,64,0.2,0.3,0,0.0,0.0,0.9964282765845486,0.3333333333333333,-0.00343767867849607,-0.003149680934161414,0.0,0.0,0.16397823459667793,True
2,64,0.2,0.3,45,0.0,0.0,0.9985993541963541,0.36666666666666664,-0.0009185821991801069,-0.00015773824874045772,0.0,0.0,0.03242511276994674,True
2,64,0.2,0.3,90,0.0,0.0,0.995115953096985,0.4,-0.004699675920510837,-0.0030558941468309397,0.0,0.0,0.06682369301293767,True
2,128,0.02,0.0,0,0.0,0.0,0.9999824238553972,0.9333333333333332,-1.7576144602804434e-05,-1.687080121661744e-05,0.0,0.0,0.013185740318687833,True
